# Fix print output for fix myRG2file
0 11.2611056295552
1000 9.31070698235887
2000 9.46662778410588
3000 9.6656292628581
4000 9.41264047013513
5000 9.54990216989061
5000 9.54990216989061
6000 9.28382810143929
7000 9.85380857921172
8000 10.1804444500816
9000 10.8477630931707
10000 11.0703931012157
11000 10.8805171551279
12000 10.9217219363738
13000 10.8391880421339
14000 11.0156589287578
15000 11.3017131042799
16000 11.3271931432414
17000 11.3707285643992
18000 11.5309768062131
19000 11.4173076363303
20000 11.7343153824595
21000 11.7425984134565
22000 11.8409948922976
23000 12.1359191823441
24000 12.1076243113426
25000 12.3784251379327
26000 12.7543368858136
27000 12.7562803423769
28000 13.0432559495602
29000 13.0090879602666
30000 13.1094414769954
31000 13.2256704930746
32000 13.2165058428388
33000 13.4039517926552
34000 13.5825997469752
35000 13.8110487784373
36000 14.0537066667733
37000 14.153035463684
38000 14.3789222919104
39000 14.5512724456687
40000 14.5908954084951
41000 14.7567991952727
42000 14.7445818413356
43000 15.1837476789126
44000 14.9718667915067
45000 15.2814746052536
46000 15.6449119828553
47000 15.6468718335695
48000 15.7466331308254
49000 15.7027595323301
50000 16.0663151911143
51000 16.3746605978077
52000 16.4841389891349
53000 16.8644913419231
54000 16.8875638828131
55000 16.9134811504937
